scope,dataset,victim,condition,method,objective,budget,source_class,n_per_seed,max_modified_outside_mask,raw_asr_mean,raw_asr_sd,raw_asr_seed42,raw_asr_seed2024,raw_asr_seed2026,valid_asr_mean,valid_asr_sd,valid_asr_seed42,valid_asr_seed2024,valid_asr_seed2026,validity_gap_pp_mean,validity_gap_pp_sd,validity_gap_pp_seed42,validity_gap_pp_seed2024,validity_gap_pp_seed2026,validator_pass_rate_mean,validator_pass_rate_sd,validator_pass_rate_seed42,validator_pass_rate_seed2024,validator_pass_rate_seed2026,mean_model_evaluations_mean,mean_model_evaluations_sd,mean_model_evaluations_seed42,mean_model_evaluations_seed2024,mean_model_evaluations_seed2026,mean_l2_robust_scaled_mean,mean_l2_robust_scaled_sd,mean_l2_robust_scaled_seed42,mean_l2_robust_scaled_seed2024,mean_l2_robust_scaled_seed2026,mean_linf_robust_scaled_mean,mean_linf_robust_scaled_sd,mean_linf_robust_scaled_seed42,mean_linf_robust_scaled_seed2024,mean_linf_robust_scaled_seed2026,mean_l2_train_minmax_mean,mean_l2_train_minmax_sd,mean_l2_train_minmax_seed42,mean_l2_train_minmax_seed2024,mean_l2_train_minmax_seed2026,mean_features_modified_mean,mean_features_modified_sd,mean_features_modified_seed42,mean_features_modified_seed2024,mean_features_modified_seed2026,median_primitive_cost_valid_mean,median_primitive_cost_valid_sd,median_primitive_cost_valid_seed42,median_primitive_cost_valid_seed2024,median_primitive_cost_valid_seed2026,ms_per_flow_mean,ms_per_flow_sd,ms_per_flow_seed42,ms_per_flow_seed2024,ms_per_flow_seed2026
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_untargeted,"PrimAttack (Hybrid Search, p75)",untargeted,p75,ALL,3200,0,0.11062500000000001,1.6996749443881478e-17,0.110625,0.110625,0.110625,0.11062500000000001,1.6996749443881478e-17,0.110625,0.110625,0.110625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,188.31499999999997,3.4809342861069267e-14,188.315,188.315,188.315,3442.334263376606,4.221546075719491,3447.148063731897,3439.2625731012795,3440.592153296642,3442.248303896927,4.221572344635052,3447.0621194714713,3439.1765218571127,3440.506270362197,0.03851886809446501,3.762788477609488e-05,0.03856181897181603,0.03850307370444328,0.03849171160713573,15.0128125,0.00440835499364605,15.008125,15.016875,15.0134375,1.4000004728635151,1.3880760252244128e-06,1.3999998569488525,1.4000020623207092,1.3999994993209839,3.205498500004372,0.08827716905839823,3.300665031274548,3.1262868124758825,3.1895436562626855
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_untargeted,"PrimAttack (Hybrid Search, p75)",untargeted,p75,ALL,3200,0,0.3666666666666667,0.0003608439182435084,0.366875,0.36625,0.366875,0.3666666666666667,0.0003608439182435084,0.366875,0.36625,0.366875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,188.21343749999997,3.4809342861069267e-14,188.2134375,188.2134375,188.2134375,2918.3662549622018,3.750195039363371,2916.4368909380837,2915.973537879709,2922.688336068812,2918.2833113184865,3.749872823675518,2916.354206765244,2915.890712584097,2922.6050146061193,0.03516638748214127,3.919463504813801e-05,0.03516279709642007,0.03520725378023754,0.03512911156976621,14.903541666666667,0.018318827120842852,14.9121875,14.9159375,14.8825,1.6077202359835308,0.0035475497286073473,1.6069518327713013,1.6046198606491089,1.6115890145301819,2.6619295416700575,0.02999787216800841,2.6621020625316305,2.6318457811430562,2.691840781335486
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_untargeted,"PrimAttack (Hybrid Search, p75)",untargeted,p75,ALL,3200,0,0.005,0.0,0.005,0.005,0.005,0.005,0.0,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,188.05625,0.0,188.05625,188.05625,188.05625,2637.7740262575917,2.0337073503437404,2636.99709374025,2636.2433136594423,2640.0816713730824,2637.694550063585,2.0335293270385857,2636.9182506066295,2636.1635174430476,2640.001882141079,0.032093745202607306,1.2832088853563999e-05,0.03210709145305694,0.03208149796726988,0.032092646187495105,13.322291666666667,0.006330214418433351,13.329375,13.3171875,13.3203125,0.19230769574642181,0.0,0.19230769574642181,0.19230769574642181,0.19230769574642181,12.177635614571045,0.07274771621886571,12.241893531318055,12.098651343621896,12.192361968773184
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_untargeted,"PrimAttack (Hybrid Search, p75)",untargeted,p75,ALL,3200,0,0.12,0.0003125000000000003,0.1203125,0.12,0.1196875,0.001875,0.00031250000000000006,0.001875,0.0021875,0.0015625,11.8125,0.03125,11.84375,11.78125,11.8125,0.7421875,0.0008267972847077089,0.7425,0.7428125,0.74125,192.855,0.0,192.855,192.855,192.855,396.6817738178873,0.3557921258049787,396.45436955808975,396.4991593708717,397.0917925247005,394.8966103389744,0.3554909574669715,394.66950082986557,394.71404050151557,395.30628968554214,0.025552168808891232,2.205864638872731e-05,0.025539759161923713,0.025539110081894637,0.025577637182855342,8.713020833333333,0.004701368373497916,8.708125,8.7175,8.7134375,0.9881603121757507,0.020506682761693207,0.9644812345504761,0.9999998211860657,0.9999998807907104,3.4529042082916326,0.11270087758610864,3.5820625312044285,3.3745379686297383,3.4021121250407305
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_untargeted,"PrimAttack (Hybrid Search, p75)",untargeted,p75,ALL,3200,0,0.153125,0.0,0.153125,0.153125,0.153125,0.0003125,0.0,0.0003125,0.0003125,0.0003125,15.281250000000002,0.0,15.281250000000002,15.281250000000002,15.281250000000002,0.23750000000000002,0.0003125000000000072,0.2375,0.2378125,0.2371875,192.79156249999997,3.4809342861069267e-14,192.7915625,192.7915625,192.7915625,378.8914092656908,3.528134563232553,382.8955002498787,376.2388447200442,377.5398828271495,376.90989923930437,3.5204855781309714,380.90695255746306,374.26989593632015,375.5528492241298,0.04259323143658556,7.768575927725043e-05,0.04268092097400862,0.042533016391016865,0.0425657569447312,13.568750000000001,0.007577722283113173,13.561875,13.576875,13.5675,0.49206771949927014,0.29516676588128804,0.23140014708042145,0.4322364926338196,0.8125665187835693,3.037946291588014,0.11973369967352973,3.167482062417548,3.015029593661893,2.9313272186846007
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_untargeted,"PrimAttack (Hybrid Search, p75)",untargeted,p75,ALL,3200,0,0.0033333333333333335,0.00018042195912175795,0.0034375,0.0034375,0.003125,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.018042195912175804,0.34375,0.34375,0.3125,0.238125,0.0,0.238125,0.238125,0.238125,192.855,0.0,192.855,192.855,192.855,268.77574522709494,0.913809919482609,269.7606561359775,268.6111791520454,267.9554003932619,266.4411775,0.9105496945759741,267.42401,266.2732283333333,265.62629416666664,0.04213743265782963,2.1488797320122582e-05,0.04214050894825144,0.042157217522213894,0.04211457150302355,14.7315625,0.006457493224928495,14.736875,14.724375,14.7334375,,,,,,12.665998187536994,0.08164699196234061,12.760259593778756,12.620391218806617,12.617343750025611
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.379267632951019,0.0009047962163026022,4.3789960719030825,4.380277110871669,4.378529716078305,0.5000182568009027,1.916674754418433e-06,0.5000171493541283,0.5000204699860539,0.5000171510625263,1.213338698501641,0.0005690227873373849,1.2131604728408796,1.2139755006991761,1.2128801219648677,78.42645833333334,0.0096437182706329,78.4196875,78.4375,78.4221875,,,,,,0.04325467705105742,0.007412486617411248,0.051811187440762296,0.03916231245966628,0.038790531252743676
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.96125,0.00093749999999998,0.9621875,0.96125,0.9603125,0.0,0.0,0.0,0.0,0.0,96.125,0.09375,96.21875,96.125,96.03125,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.009831988335277,0.0014425491988031688,4.009496241111652,4.00858692049666,4.011412803397517,0.5000182069429123,1.9140720564501894e-06,0.5000171016811531,0.5000204171229374,0.5000171020246462,1.1201299977409904,0.0010016386652333782,1.1192662731100638,1.1198957032902654,1.121228016822642,78.41760416666666,0.009107288747663525,78.4090625,78.4271875,78.4165625,,,,,,1.5647594582939444,0.010857889739136557,1.5607680937682744,1.5770481248910073,1.5564621562225511
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.9736458333333333,0.0028182810955143063,0.9734375,0.9765625,0.9709375,0.0,0.0,0.0,0.0,0.0,97.36458333333333,0.2818281095514309,97.34375,97.65625,97.09375,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.1439736566686465,0.0028236181301029353,4.141026071437472,4.1466543566225855,4.144240541945883,0.5000182335760526,1.9168826025246937e-06,0.5000171294405481,0.5000204469994268,0.5000171242881829,1.1441638924475948,0.0005673147508320994,1.14432699489706,1.1446317902375538,1.1435328922081707,78.41875,0.009762812094890815,78.41375,78.43,78.4125,,,,,,3.7210041145590367,0.023785021768969843,3.748460937422351,3.706710531259887,3.707840874994872
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.9434374999999999,0.0025000000000000022,0.9434375,0.9409375,0.9459375,0.0,0.0,0.0,0.0,0.0,94.34375,0.25,94.34375,94.09375,94.59375,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.34072744138388,0.0006917287200247287,4.3400360841302525,4.3407266990485684,4.341419540972819,0.5000028567901963,9.787682140907005e-09,0.5000028455142196,0.500002863089988,0.5000028617663813,0.8809185247715504,0.0009708890301700052,0.879915355514446,0.881853542313141,0.8809866764870642,78.75354166666666,0.009633586537907341,78.7459375,78.7503125,78.764375,,,,,,0.0422091562844192,0.00932893271688241,0.052920343732694164,0.037844437538296916,0.03586268758226652
