scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_untargeted,"PrimAttack (Hybrid Search, p75)",untargeted,p75,ALL,2026,3200,10,0,762,0.003125,0.0,0.3125,0.238125,192.855,267.9554003932619,265.62629416666664,0.04211457150302355,14.7334375,0,,,,40.375500000081956,12.617343750025611
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3200,0,0,1.0,0.0,100.0,0.0,40.0,4.3789960719030825,0.5000171493541283,1.2131604728408796,78.4196875,56,,,,0.16579579981043935,0.051811187440762296
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3200,0,0,1.0,0.0,100.0,0.0,40.0,4.380277110871669,0.5000204699860539,1.2139755006991761,78.4375,56,,,,0.1253193998709321,0.03916231245966628
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3200,0,0,1.0,0.0,100.0,0.0,40.0,4.378529716078305,0.5000171510625263,1.2128801219648677,78.4221875,56,,,,0.12412970000877976,0.038790531252743676
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3079,0,0,0.9621875,0.0,96.21875,0.0,40.0,4.009496241111652,0.5000171016811531,1.1192662731100638,78.4090625,56,,,,4.994457900058478,1.5607680937682744
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3076,0,0,0.96125,0.0,96.125,0.0,40.0,4.00858692049666,0.5000204171229374,1.1198957032902654,78.4271875,56,,,,5.046553999651223,1.5770481248910073
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3073,0,0,0.9603125,0.0,96.03125,0.0,40.0,4.011412803397517,0.5000171020246462,1.121228016822642,78.4165625,56,,,,4.980678899912164,1.5564621562225511
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3115,0,0,0.9734375,0.0,97.34375,0.0,40.0,4.141026071437472,0.5000171294405481,1.14432699489706,78.41375,56,,,,11.995074999751523,3.748460937422351
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3125,0,0,0.9765625,0.0,97.65625,0.0,40.0,4.1466543566225855,0.5000204469994268,1.1446317902375538,78.43,56,,,,11.861473700031638,3.706710531259887
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3107,0,0,0.9709375,0.0,97.09375,0.0,40.0,4.144240541945883,0.5000171242881829,1.1435328922081707,78.4125,56,,,,11.86509079998359,3.707840874994872
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3019,0,0,0.9434375,0.0,94.34375,0.0,40.0,4.3400360841302525,0.5000028455142196,0.879915355514446,78.7459375,56,,,,0.16934509994462132,0.052920343732694164
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3011,0,0,0.9409375,0.0,94.09375,0.0,40.0,4.3407266990485684,0.500002863089988,0.881853542313141,78.7503125,56,,,,0.12110220012255013,0.037844437538296916
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3027,0,0,0.9459375,0.0,94.59375,0.0,40.0,4.341419540972819,0.5000028617663813,0.8809866764870642,78.764375,56,,,,0.11476060026325285,0.03586268758226652
victim,cicids2018_distrinet,cnn-s42,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3191,0,0,0.9971875,0.0,99.71875,0.0,40.0,3.9421552696557614,0.5000017815700026,0.8573058836154039,78.7453125,56,,,,5.061409099958837,1.5816903437371366
victim,cicids2018_distrinet,cnn-s42,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3190,0,0,0.996875,0.0,99.6875,0.0,40.0,3.9445970560225083,0.5000017869027892,0.8571047747322379,78.753125,56,,,,5.025746699888259,1.570545843715081
victim,cicids2018_distrinet,cnn-s42,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3190,0,0,0.996875,0.0,99.6875,0.0,40.0,3.9428536763198547,0.5000018796529953,0.8561048237057388,78.7603125,56,,,,4.961777600226924,1.5505555000709137
victim,cicids2018_distrinet,ft_transformer-s42,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,2941,0,0,0.9190625,0.0,91.90625,0.0,40.0,4.002338429621016,0.5000029037159341,0.7837241466953757,78.750625,56,,,,62.799539000028744,19.624855937508983
