dataset,victim,method,allowed_downstream_features,mean_features_modified,max_modified_outside_mask,raw_asr_mean,raw_asr_sd,valid_asr_mean,valid_asr_sd,validity_gap_pp_mean,validity_gap_pp_sd,validator_pass_rate_mean,validator_pass_rate_sd,mean_model_evaluations
cicids2017_distrinet,mlp,CAPGD-PrimSupport,23,18.960729166666667,0,0.9440624999999999,0.007064159097160787,0.021770833333333333,0.0007864410870073686,92.22916666666667,0.7808332221629173,0.022291666666666664,0.0012629537138523056,24.7675
cicids2017_distrinet,cnn,CAPGD-PrimSupport,23,19.59447916666667,0,0.9653125,0.010680004681646907,0.052083333333333336,0.0007216878364870328,91.32291666666667,1.0026007846263305,0.052083333333333336,0.0007216878364870328,23.51125
cicids2017_distrinet,ft_transformer,CAPGD-PrimSupport,23,20.499166666666667,0,0.5220833333333333,0.043261032432008954,0.0017708333333333332,0.00018042195912175795,52.03125,4.324710973001549,0.0025,0.0010825317547305483,24.89125
cicids2018_distrinet,mlp-s42,CAPGD-PrimSupport,23,18.696354166666666,0,0.9157291666666666,0.00839301544936819,0.0013541666666666667,0.0001804219591217581,91.4375,0.8460616481675552,0.0013541666666666667,0.0001804219591217581,22.663750000000004
cicids2018_distrinet,cnn-s42,CAPGD-PrimSupport,23,19.749270833333334,0,0.7601041666666667,0.016786030898736405,0.002916666666666667,0.0006505206248331664,75.71875,1.6883678324050124,0.0031249999999999997,0.0006249999999999999,24.02125
cicids2018_distrinet,ft_transformer-s42,CAPGD-PrimSupport,23,20.190729166666667,0,0.09739583333333333,0.007045702738785775,0.0,0.0,9.739583333333334,0.7045702738785772,0.00020833333333333335,0.00018042195912175806,24.93625
cicids2017_distrinet,mlp,C-PGD-PrimSupport,23,20.653645833333332,0,0.5080208333333333,0.020370909609866057,0.0,0.0,50.802083333333336,2.037090960986606,0.0,0.0,40.0
cicids2017_distrinet,cnn,C-PGD-PrimSupport,23,20.989166666666666,0,0.6041666666666666,0.029753763767519092,0.0,0.0,60.416666666666664,2.9753763767519077,0.0,0.0,40.0
cicids2017_distrinet,ft_transformer,C-PGD-PrimSupport,23,21.235208333333336,0,0.21614583333333334,0.0030671733050698854,0.0,0.0,21.614583333333332,0.3067173305069887,0.0,0.0,40.0
cicids2018_distrinet,mlp-s42,C-PGD-PrimSupport,23,20.785833333333333,0,0.28250000000000003,0.005144399260360746,0.0,0.0,28.25,0.5144399260360737,0.0,0.0,40.0
cicids2018_distrinet,cnn-s42,C-PGD-PrimSupport,23,20.871145833333333,0,0.5054166666666667,0.032983680466002196,0.0,0.0,50.541666666666664,3.2983680466002214,0.0,0.0,40.0
cicids2018_distrinet,ft_transformer-s42,C-PGD-PrimSupport,23,21.08791666666667,0,0.016458333333333335,0.004219714395943562,0.0,0.0,1.6458333333333333,0.42197143959435607,0.0,0.0,40.0
cicids2017_distrinet,mlp,"PrimAttack (Hybrid Search, p75)",23,15.0128125,0,0.11062500000000001,1.6996749443881478e-17,0.11062500000000001,1.6996749443881478e-17,0.0,0.0,1.0,0.0,188.31499999999997
cicids2017_distrinet,cnn,"PrimAttack (Hybrid Search, p75)",23,14.903541666666667,0,0.3666666666666667,0.0003608439182435084,0.3666666666666667,0.0003608439182435084,0.0,0.0,1.0,0.0,188.21343749999997
cicids2017_distrinet,ft_transformer,"PrimAttack (Hybrid Search, p75)",23,13.322291666666667,0,0.005,0.0,0.005,0.0,0.0,0.0,1.0,0.0,188.05625
cicids2018_distrinet,mlp-s42,"PrimAttack (Hybrid Search, p75)",23,8.713020833333333,0,0.12,0.0003125000000000003,0.001875,0.00031250000000000006,11.8125,0.03125,0.7421875,0.0008267972847077089,192.855
cicids2018_distrinet,cnn-s42,"PrimAttack (Hybrid Search, p75)",23,13.568750000000001,0,0.153125,0.0,0.0003125,0.0,15.281250000000002,0.0,0.23750000000000002,0.0003125000000000072,192.79156249999997
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Hybrid Search, p75)",23,14.7315625,0,0.0033333333333333335,0.00018042195912175795,0.0,0.0,0.3333333333333333,0.018042195912175804,0.238125,0.0,192.855
