scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,raw_targeted_benign_successes,valid_targeted_benign_successes,raw_targeted_benign_asr,valid_targeted_benign_asr,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,25,25,3200,0.0078125,0.0078125,0.0,1.0,25,25,0.0078125,0.0078125,189.92125,353.12662695631553,352.98582753070906,0.008261028359992477,6.6421875,0,0.45852553844451904,0.0,2628328.0,10.031284799799323,3.1347764999372885
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,25,25,3200,0.0078125,0.0078125,0.0,1.0,25,25,0.0078125,0.0078125,189.92125,345.2685608557846,345.1294543911466,0.008202941576820522,6.610625,0,0.44999995827674866,0.0,2709999.0,9.747310499893501,3.046034531216719
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,25,25,3200,0.0078125,0.0078125,0.0,1.0,25,25,0.0078125,0.0078125,189.92125,352.4735843564592,352.3339098677516,0.008269684781541458,6.6696875,0,0.4500001072883606,0.0,2628328.0,9.674173099920154,3.023179093725048
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,0,0,3196,0.0,0.0,0.0,0.99875,0,0,0.0,0.0,189.8425,286.8450981138313,286.62394530386837,0.005680997783534256,6.4528125,0,,,,9.402032299665734,2.938135093645542
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,0,0,3197,0.0,0.0,0.0,0.9990625,0,0,0.0,0.0,189.8425,281.10958915604385,280.9222994036218,0.00543024301234593,6.4715625,0,,,,9.20791000011377,2.8774718750355532
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,0,0,3197,0.0,0.0,0.0,0.9990625,0,0,0.0,0.0,189.8425,286.0698641692807,285.8824345448172,0.005545238853150155,6.46,0,,,,9.480241699842736,2.962575531200855
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,245.6254232710519,245.2014414417368,0.005340662629128248,7.876875,0,,,,42.78101460007019,13.369067062521935
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2024,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,247.1773433044608,246.75485094310682,0.005351391790785477,7.875,0,,,,42.880826900480315,13.400258406400098
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,2026,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,245.83552157463382,245.30776327955647,0.005644556168116586,7.856875,0,,,,42.91353130014613,13.410478531295666
victim,cicids2017_distrinet,mlp,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,42,3200,734,734,3200,0.229375,0.229375,0.0,1.0,734,734,0.229375,0.229375,187.08625,27248.112225734316,27248.107226680993,0.19774686213221074,8.4378125,0,0.30000001192092896,0.0,5186885.5,10.597085400018841,3.311589187505888
victim,cicids2017_distrinet,mlp,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2024,3200,734,734,3200,0.229375,0.229375,0.0,1.0,734,734,0.229375,0.229375,187.08625,26841.36136839164,26841.35640467012,0.194063293137407,8.43,0,0.30000001192092896,0.0,5070927.0,10.871421699644998,3.397319281139062
victim,cicids2017_distrinet,mlp,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2026,3200,734,734,3200,0.229375,0.229375,0.0,1.0,734,734,0.229375,0.229375,187.08625,27723.160172778425,27723.155066354902,0.20151044204896823,8.4403125,0,0.30000001192092896,0.0,5119822.0,10.502202300122008,3.2819382187881274
victim,cicids2017_distrinet,cnn,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,42,3200,1910,1910,3200,0.596875,0.596875,0.0,1.0,1910,1910,0.596875,0.596875,187.08625,21631.148543433897,21631.1295208228,0.23770542195859673,8.6484375,0,0.40000003576278687,0.0,8425822.0,9.358382599893957,2.9244945624668617
