;dataset;model;attack;success_rates;outliers_all;outliers_successful_attacks
pendigit_oh_TabTransformer_pgd;pendigit_oh;TabTransformer;pgd;[0.204, 0.356, 0.536, 0.666, 0.732, 0.816, 0.878, 0.938, 0.968, 0.988];[(0, 500), (0, 500), (0, 500), (2, 500), (1, 500), (2, 500), (2, 500), (4, 500), (3, 500), (3, 500)];[(0, 102), (0, 178), (0, 268), (2, 333), (1, 366), (2, 408), (2, 439), (4, 469), (3, 484), (3, 494)]
electricity_oh_MLP_noise;electricity_oh;MLP;noise;[0.364, 0.376, 0.378, 0.402, 0.402, 0.41, 0.386, 0.422, 0.432, 0.434];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 182), (0, 188), (0, 189), (0, 201), (0, 201), (0, 205), (0, 193), (0, 211), (0, 216), (0, 217)]
electricity_oh_MLP_fgsm;electricity_oh;MLP;fgsm;[0.384, 0.408, 0.47, 0.528, 0.596, 0.64, 0.646, 0.656, 0.662, 0.632];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 192), (0, 204), (0, 235), (0, 264), (0, 298), (0, 320), (0, 323), (0, 328), (0, 331), (0, 316)]
electricity_oh_MLP_pgd;electricity_oh;MLP;pgd;[0.386, 0.436, 0.502, 0.572, 0.626, 0.698, 0.73, 0.776, 0.806, 0.85];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 193), (0, 218), (0, 251), (0, 286), (0, 313), (0, 349), (0, 365), (0, 388), (0, 403), (0, 425)]
electricity_oh_SoftDecisionTree_noise;electricity_oh;SoftDecisionTree;noise;[0.358, 0.37, 0.38, 0.396, 0.404, 0.422, 0.418, 0.426, 0.426, 0.416];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 179), (0, 185), (0, 190), (0, 198), (0, 202), (0, 211), (0, 209), (0, 213), (0, 213), (0, 208)]
electricity_oh_SoftDecisionTree_fgsm;electricity_oh;SoftDecisionTree;fgsm;[0.402, 0.426, 0.47, 0.504, 0.55, 0.628, 0.638, 0.654, 0.662, 0.664];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 201), (0, 213), (0, 235), (0, 252), (0, 275), (0, 314), (0, 319), (0, 327), (0, 331), (0, 332)]
electricity_oh_SoftDecisionTree_pgd;electricity_oh;SoftDecisionTree;pgd;[0.41, 0.446, 0.496, 0.536, 0.618, 0.736, 0.78, 0.816, 0.836, 0.812];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 205), (0, 223), (0, 248), (0, 268), (0, 309), (0, 368), (0, 390), (0, 408), (0, 418), (0, 406)]
electricity_oh_TabTransformer_noise;electricity_oh;TabTransformer;noise;[0.366, 0.37, 0.362, 0.378, 0.38, 0.39, 0.378, 0.406, 0.384, 0.418];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 183), (0, 185), (0, 181), (0, 189), (0, 190), (0, 195), (0, 189), (0, 203), (0, 192), (0, 209)]
electricity_oh_TabTransformer_fgsm;electricity_oh;TabTransformer;fgsm;[0.384, 0.426, 0.508, 0.562, 0.546, 0.59, 0.608, 0.614, 0.622, 0.622];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 192), (0, 213), (0, 254), (0, 281), (0, 273), (0, 295), (0, 304), (0, 307), (0, 311), (0, 311)]
electricity_oh_TabTransformer_pgd;electricity_oh;TabTransformer;pgd;[0.404, 0.466, 0.53, 0.576, 0.618, 0.666, 0.692, 0.734, 0.722, 0.714];[(0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500), (0, 500)];[(0, 202), (0, 233), (0, 265), (0, 288), (0, 309), (0, 333), (0, 346), (0, 367), (0, 361), (0, 357)]
