,params._lambda,params.optimizer,params.lr,params.max_iter,params.sample_num,params.kappa,metrics.success_rate,metrics.mean_l2_distance,metrics.mean_linf_distance,metrics.perturbed_features_latent,metrics.perturbed_features_input,metrics.mean_confidence_successful,metrics.mean_confidence_unsuccessful,metrics.min_confidence_unsuccessful,metrics.max_confidence_unsuccessful,metrics.mean_md_distance,metrics.outlier_rate,metrics.outliers,attack,dataset,model,params.epsilon,params.alpha,params.num_steps,params.p_norm
0,0.5,adam,0.01,300.0,500,0.0,0.212,0.20227394998073578,0.10137373208999634,12.226415094339623,4.245283018867925,0.5480000267227022,0.17100208891829863,0.0,0.49550706148147583,3.509036203212781,0.10377358490566038,11/106,baseline,adult,MLP,,,,
1,0.5,adam,0.03,300.0,500,0.0,0.268,0.2195533961057663,0.11322113126516342,13.007462686567164,4.223880597014926,0.5402495916793818,0.1711252704669869,0.0,0.4986836910247803,3.4234680272476274,0.09701492537313433,13/134,baseline,adult,MLP,,,,
2,0.5,adam,0.1,300.0,500,0.0,0.366,0.2931290566921234,0.14890259504318237,13.797814207650273,4.459016393442623,0.5470182997138937,0.17930772270690004,0.0,0.49451327323913574,3.5972380413444767,0.12021857923497267,22/183,baseline,adult,MLP,,,,
3,0.5,adam,0.15,300.0,500,0.0,0.434,0.32279619574546814,0.16073504090309143,14.152073732718893,4.608294930875576,0.5743150334410404,0.18453001681149217,0.0,0.4971996545791626,3.6825917206558576,0.12442396313364056,27/217,baseline,adult,MLP,,,,
4,0.5,adam,0.2,300.0,500,0.0,0.492,0.3840440511703491,0.18593505024909973,14.361788617886178,4.747967479674797,0.5812691427555269,0.19199316801987296,0.0,0.49825483560562134,3.831079453500777,0.15040650406504066,37/246,baseline,adult,MLP,,,,
5,0.5,adam,0.25,300.0,500,0.0,0.52,0.3922247588634491,0.1897406131029129,14.457692307692307,4.7615384615384615,0.5911899115890265,0.197700630625089,0.0,0.4983453154563904,3.818446945330323,0.15384615384615385,40/260,baseline,adult,MLP,,,,
6,0.5,adam,0.3,300.0,500,0.0,0.57,0.47597432136535645,0.2283836454153061,14.589473684210526,4.908771929824561,0.60332934034155,0.20155178086702213,0.0,0.49772101640701294,3.9653974338852693,0.17894736842105263,51/285,baseline,adult,MLP,,,,
7,0.6,adam,0.01,300.0,500,0.0,0.236,0.22556616365909576,0.1151636466383934,12.610169491525424,4.228813559322034,0.5448384085606973,0.1723456515379601,0.0,0.49765872955322266,3.4727234948195758,0.1016949152542373,12/118,baseline,adult,MLP,,,,
8,0.6,adam,0.03,300.0,500,0.0,0.282,0.25366783142089844,0.1315724402666092,13.148936170212766,4.23404255319149,0.5383627374676314,0.17612533732044997,0.0,0.4986836910247803,3.4957350278296726,0.09929078014184398,14/141,baseline,adult,MLP,,,,
9,0.6,adam,0.1,300.0,500,0.0,0.41,0.4115903675556183,0.20694208145141602,14.048780487804878,4.575609756097561,0.5604742862647627,0.18580234576079804,0.0,0.49633079767227173,3.774085819600203,0.12682926829268293,26/205,baseline,adult,MLP,,,,
10,0.6,adam,0.15,300.0,500,0.0,0.476,0.46845513582229614,0.2264338582754135,14.315126050420169,4.680672268907563,0.5680616605134696,0.18739510151266142,0.0,0.49953746795654297,3.868388476260228,0.15546218487394958,37/238,baseline,adult,MLP,,,,
11,0.6,adam,0.2,300.0,500,0.0,0.536,0.5055975914001465,0.24418771266937256,14.5,4.772388059701493,0.580546282989376,0.19345015621390835,0.0,0.4975098967552185,3.976494550140348,0.16044776119402984,43/268,baseline,adult,MLP,,,,
12,0.6,adam,0.25,300.0,500,0.0,0.574,0.5368075966835022,0.2572968602180481,14.602787456445993,4.811846689895471,0.591005254637463,0.2023490658948119,0.0,0.49752914905548096,3.976409987410637,0.17073170731707318,49/287,baseline,adult,MLP,,,,
13,0.6,adam,0.3,300.0,500,0.0,0.618,0.5935118794441223,0.28285256028175354,14.702265372168284,4.909385113268608,0.5949163941778002,0.20925485744526248,0.0,0.4977952241897583,4.030938564509522,0.18122977346278318,56/309,baseline,adult,MLP,,,,
14,0.7,adam,0.01,300.0,500,0.0,0.258,0.3297089636325836,0.15680736303329468,12.89922480620155,4.294573643410852,0.5412509781127983,0.1754413639117444,0.0,0.49550706148147583,3.729342926660205,0.12403100775193798,16/129,baseline,adult,MLP,,,,
15,0.7,adam,0.03,300.0,500,0.0,0.306,0.3613653779029846,0.17732438445091248,13.38562091503268,4.326797385620915,0.5356118961608682,0.18156079325277455,0.0,0.4986836910247803,3.766832989893507,0.13071895424836602,20/153,baseline,adult,MLP,,,,
16,0.7,adam,0.1,300.0,500,0.0,0.438,0.4679831266403198,0.22955547273159027,14.168949771689498,4.639269406392694,0.5641720343177041,0.1938567479734319,0.0,0.49995529651641846,3.9201823915210703,0.1552511415525114,34/219,baseline,adult,MLP,,,,
17,0.7,adam,0.15,300.0,500,0.0,0.518,0.5368126630783081,0.25958162546157837,14.455598455598455,4.714285714285714,0.5696792663596426,0.1872176382056905,0.0,0.4971997141838074,3.9580181243710544,0.16602316602316602,43/259,baseline,adult,MLP,,,,
18,0.7,adam,0.2,300.0,500,0.0,0.556,0.585488498210907,0.2832518517971039,14.557553956834532,4.83453237410072,0.5822893805507061,0.20566586465448947,0.0,0.4973730444908142,4.00769263584873,0.16906474820143885,47/278,baseline,adult,MLP,,,,
19,0.7,adam,0.25,300.0,500,0.0,0.584,0.5961069464683533,0.2869660556316376,14.623287671232877,4.8493150684931505,0.5869914623653542,0.2158243633233584,0.0,0.49734288454055786,4.0384447867068385,0.1780821917808219,52/292,baseline,adult,MLP,,,,
20,0.7,adam,0.3,300.0,500,0.0,0.648,0.7011682391166687,0.3343912363052368,14.765432098765432,4.969135802469136,0.5952756113349748,0.21526951918547804,0.0,0.4981362819671631,4.205651623165289,0.21604938271604937,70/324,baseline,adult,MLP,,,,
21,0.8,adam,0.01,300.0,500,0.0,0.27,0.36930808424949646,0.17308002710342407,13.022222222222222,4.325925925925926,0.5386286698143792,0.17919995278528292,0.0,0.49629640579223633,3.8244845853797766,0.13333333333333333,18/135,baseline,adult,MLP,,,,
22,0.8,adam,0.03,300.0,500,0.0,0.332,0.4278551936149597,0.20784318447113037,13.58433734939759,4.409638554216867,0.5389206335958407,0.18804253254108086,0.0,0.4988105893135071,3.8758574228884917,0.14457831325301204,24/166,baseline,adult,MLP,,,,
23,0.8,adam,0.1,300.0,500,0.0,0.464,0.5137636065483093,0.25010180473327637,14.27155172413793,4.676724137931035,0.5645165139215131,0.19325591779466886,0.0,0.49621450901031494,3.9391580038008165,0.15517241379310345,36/232,baseline,adult,MLP,,,,
24,0.8,adam,0.15,300.0,500,0.0,0.544,0.5852855443954468,0.2830183207988739,14.522058823529411,4.7463235294117645,0.5710487540414119,0.19027818870126156,0.0,0.4975436329841614,3.9882684663476122,0.15808823529411764,43/272,baseline,adult,MLP,,,,
25,0.8,adam,0.2,300.0,500,0.0,0.59,0.6327286958694458,0.3041733503341675,14.64406779661017,4.8338983050847455,0.5798765686293275,0.20075778292446603,0.0,0.49713653326034546,4.0058464569768395,0.17288135593220338,51/295,baseline,adult,MLP,,,,
26,0.8,adam,0.25,300.0,500,0.0,0.616,0.7618594765663147,0.3607870936393738,14.698051948051948,4.873376623376624,0.5803478437252101,0.22927925114830336,0.0,0.4984816312789917,4.249387706047088,0.21428571428571427,66/308,baseline,adult,MLP,,,,
27,0.8,adam,0.3,300.0,500,0.0,0.676,0.8192442059516907,0.3997829258441925,14.81360946745562,4.970414201183432,0.6005067139059393,0.22652166566731016,0.0,0.49849259853363037,4.322433195157145,0.21005917159763313,71/338,baseline,adult,MLP,,,,
28,0.9,adam,0.01,300.0,500,0.0,0.3,0.40628543496131897,0.18923798203468323,13.326666666666666,4.333333333333333,0.5370495861892899,0.18195321559906005,0.0,0.4997439980506897,3.8969331534023293,0.14,21/150,baseline,adult,MLP,,,,
29,0.9,adam,0.03,300.0,500,0.0,0.34,0.4276289641857147,0.21262359619140625,13.647058823529411,4.429411764705883,0.5469139382571858,0.19354219996567928,0.0,0.49905669689178467,3.895591276941793,0.15294117647058825,26/170,baseline,adult,MLP,,,,
