scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2026,3200,490,1,759,0.153125,0.0003125,15.281250000000002,0.2371875,192.7915625,377.5398828271495,375.5528492241298,0.0425657569447312,13.5675,0,0.8125665187835693,0.0,126825.0,9.380247099790722,2.9313272186846007
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,42,3200,11,0,762,0.0034375,0.0,0.34375,0.238125,192.855,269.7606561359775,267.42401,0.04214050894825144,14.736875,0,,,,40.83283070009202,12.760259593778756
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2024,3200,11,0,762,0.0034375,0.0,0.34375,0.238125,192.855,268.6111791520454,266.2732283333333,0.042157217522213894,14.724375,0,,,,40.385251900181174,12.620391218806617
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_untargeted,Hybrid Search untargeted,untargeted,p75,ALL,2026,3200,10,0,762,0.003125,0.0,0.3125,0.238125,192.855,267.9554003932619,265.62629416666664,0.04211457150302355,14.7334375,0,,,,40.375500000081956,12.617343750025611
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,42,800,231,231,800,0.28875,0.28875,0.0,1.0,251.1825,2124.631209077434,2124.319463325877,0.045908612766287465,19.81375,0,1.4570605754852295,38.0,204167.0,2.3845265998970717,2.9806582498713396
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2024,800,231,231,800,0.28875,0.28875,0.0,1.0,251.1825,2125.618895040202,2125.306719607571,0.046022758469961414,19.8325,0,1.4956843852996826,38.0,199755.0,2.219726199982688,2.77465774997836
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2026,800,231,231,800,0.28875,0.28875,0.0,1.0,251.1825,2122.7298328334764,2122.417561453996,0.04589168287294235,19.8275,0,1.4444409608840942,38.0,201935.0,2.262681999942288,2.8283524999278598
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,42,800,106,106,800,0.1325,0.1325,0.0,1.0,245.92,7876.091243307925,7876.087782482306,0.0378082431661509,19.63125,0,1.2746353149414062,2.0,1663526.0,2.480908599914983,3.1011357498937286
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2024,800,106,106,800,0.1325,0.1325,0.0,1.0,245.92,7845.0159695906,7845.012510743175,0.037468184593945464,19.64625,0,1.3333331942558289,2.0,1479313.0,2.508712299866602,3.1358903748332523
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2026,800,106,106,800,0.1325,0.1325,0.0,1.0,245.92,7851.566052332203,7851.562592264914,0.03761863019012831,19.64125,0,1.3214144110679626,2.0,1509788.0,2.4850698998197913,3.106337374774739
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,42,800,0,0,800,0.0,0.0,0.0,1.0,3.8575,12.608411985426365,12.606805258737277,9.323545881943097e-05,0.15125,0,,,,2.2376304999925196,2.7970381249906495
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,2024,800,0,0,800,0.0,0.0,0.0,1.0,3.8575,12.608411985426365,12.606805258737277,9.323545881943097e-05,0.15125,0,,,,2.2459831999149173,2.8074789998936467
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,2026,800,0,0,800,0.0,0.0,0.0,1.0,3.8575,12.608411985426365,12.606805258737277,9.323545881943097e-05,0.15125,0,,,,2.2195205001626164,2.7744006252032705
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,42,800,17,17,800,0.02125,0.02125,0.0,1.0,252.3,3787.7062548710346,3787.6792909494015,0.07049671976084937,20.46125,0,0.8717948794364929,60.0,0.0,2.0751284998841584,2.593910624855198
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,2024,800,17,17,800,0.02125,0.02125,0.0,1.0,252.3,3786.2518801031215,3786.2249159494013,0.07048765155988987,20.4625,0,0.8717948794364929,60.0,0.0,2.083708900026977,2.6046361250337213
class,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,2026,800,17,17,800,0.02125,0.02125,0.0,1.0,252.3,3787.909180349696,3787.8829866015753,0.07042283317149588,20.45875,0,0.8548339009284973,52.0,0.0,2.0277096999343485,2.5346371249179356
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,42,800,395,395,800,0.49375,0.49375,0.0,1.0,251.08625,1940.7805654067952,1940.4635764359998,0.043345691037801774,19.3175,0,1.536452054977417,45.0,202942.0,2.3806280000135303,2.975785000016913
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2024,800,394,394,800,0.4925,0.4925,0.0,1.0,251.08625,1921.6095411701526,1921.2882319670753,0.04365067226755852,19.38625,0,1.5558324456214905,46.5,201650.5,2.1445653999689966,2.680706749961246
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2026,800,395,395,800,0.49375,0.49375,0.0,1.0,251.08625,1951.4448834473549,1951.125228742204,0.04339230557331871,19.27,0,1.539506435394287,45.0,202917.0,2.5796918000560254,3.2246147500700317
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,42,800,287,287,800,0.35875,0.35875,0.0,1.0,245.92,6580.938852502691,6580.935391177958,0.03317230236892089,19.65,0,1.223473310470581,2.0,1781387.0,2.8798966000322253,3.5998707500402816
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2024,800,287,287,800,0.35875,0.35875,0.0,1.0,245.92,6596.914967894815,6596.911505308392,0.03338976608735234,19.6725,0,1.252929449081421,2.0,1928660.0,2.8436318999156356,3.5545398748945445
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2026,800,287,287,800,0.35875,0.35875,0.0,1.0,245.92,6569.856489075881,6569.853027047523,0.03327349013293069,19.62875,0,1.2409701347351074,2.0,1840326.0,2.586153700016439,3.2326921250205487
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,42,800,1,1,800,0.00125,0.00125,0.0,1.0,3.54,0.14693536834469112,0.145227916224671,2.9946614064463067e-05,0.1275,0,0.7792055606842041,0.0,6198.0,2.233929900219664,2.79241237527458
class,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,2024,800,1,1,800,0.00125,0.00125,0.0,1.0,3.54,0.15889189745285287,0.15718443796380144,2.9985791140949673e-05,0.1275,0,0.9999678730964661,0.0,7954.0,2.174266600050032,2.71783325006254
