scope,dataset,victim,condition,method,objective,budget,source_class,n_per_seed,max_modified_outside_mask,raw_asr_mean,raw_asr_sd,raw_asr_seed42,raw_asr_seed2024,raw_asr_seed2026,valid_asr_mean,valid_asr_sd,valid_asr_seed42,valid_asr_seed2024,valid_asr_seed2026,validity_gap_pp_mean,validity_gap_pp_sd,validity_gap_pp_seed42,validity_gap_pp_seed2024,validity_gap_pp_seed2026,validator_pass_rate_mean,validator_pass_rate_sd,validator_pass_rate_seed42,validator_pass_rate_seed2024,validator_pass_rate_seed2026,raw_targeted_benign_asr_mean,raw_targeted_benign_asr_sd,raw_targeted_benign_asr_seed42,raw_targeted_benign_asr_seed2024,raw_targeted_benign_asr_seed2026,valid_targeted_benign_asr_mean,valid_targeted_benign_asr_sd,valid_targeted_benign_asr_seed42,valid_targeted_benign_asr_seed2024,valid_targeted_benign_asr_seed2026,mean_model_evaluations_mean,mean_model_evaluations_sd,mean_model_evaluations_seed42,mean_model_evaluations_seed2024,mean_model_evaluations_seed2026,mean_l2_robust_scaled_mean,mean_l2_robust_scaled_sd,mean_l2_robust_scaled_seed42,mean_l2_robust_scaled_seed2024,mean_l2_robust_scaled_seed2026,mean_linf_robust_scaled_mean,mean_linf_robust_scaled_sd,mean_linf_robust_scaled_seed42,mean_linf_robust_scaled_seed2024,mean_linf_robust_scaled_seed2026,mean_l2_train_minmax_mean,mean_l2_train_minmax_sd,mean_l2_train_minmax_seed42,mean_l2_train_minmax_seed2024,mean_l2_train_minmax_seed2026,mean_features_modified_mean,mean_features_modified_sd,mean_features_modified_seed42,mean_features_modified_seed2024,mean_features_modified_seed2026,median_primitive_cost_valid_mean,median_primitive_cost_valid_sd,median_primitive_cost_valid_seed42,median_primitive_cost_valid_seed2024,median_primitive_cost_valid_seed2026,ms_per_flow_mean,ms_per_flow_sd,ms_per_flow_seed42,ms_per_flow_seed2024,ms_per_flow_seed2026
victim,cicids2018_distrinet,cnn-s42,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.9969791666666667,0.00018042195912178625,0.9971875,0.996875,0.996875,0.0,0.0,0.0,0.0,0.0,99.69791666666667,0.018042195912175808,99.71875,99.6875,99.6875,0.0,0.0,0.0,0.0,0.0,0.9844791666666667,0.0007864410870073824,0.9853125,0.984375,0.98375,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,3.9432020006660413,0.0012576078692572074,3.9421552696557614,3.9445970560225083,3.9428536763198547,0.5000018160419291,5.5153290592687996e-08,0.5000017815700026,0.5000017869027892,0.5000018796529953,0.8568384940177936,0.000643284766503096,0.8573058836154039,0.8571047747322379,0.8561048237057388,78.75291666666666,0.00750216982501313,78.7453125,78.753125,78.7603125,,,,,,1.6526451562579798,0.04221080709221715,1.6039680938411038,1.6748250000819098,1.679142374850926
victim,cicids2018_distrinet,ft_transformer-s42,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.9169791666666667,0.0018042195912176063,0.9190625,0.9159375,0.9159375,0.0,0.0,0.0,0.0,0.0,91.69791666666667,0.18042195912175807,91.90625,91.59375,91.59375,0.0,0.0,0.0,0.0,0.0,0.5160416666666667,0.007969260604556288,0.508125,0.5240625,0.5159375,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.002885034300125,0.0015705779188039473,4.002338429621016,4.001660794489149,4.004655878790211,0.5000029034256691,7.386774672199301e-09,0.5000029037159341,0.5000028958980404,0.5000029106630327,0.784728029724754,0.0010036668712758235,0.7837241466953757,0.7847284621807101,0.7857314802981762,78.75468749999999,0.004603412457079746,78.750625,78.75375,78.7596875,,,,,,20.96586056247664,0.05781294849963618,20.957298968714895,21.02747687495139,20.912805843763635
victim,cicids2017_distrinet,mlp,cw_untargeted,C&W,untargeted,native,ALL,3200,56,0.999375,0.0,0.999375,0.999375,0.999375,0.0,0.0,0.0,0.0,0.0,99.9375,0.0,99.9375,99.9375,99.9375,0.0,0.0,0.0,0.0,0.0,0.9696875,0.0,0.9696875,0.9696875,0.9696875,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,120.0,1.3227477449985898,0.0,1.3227477449985898,1.3227477449985898,1.3227477449985898,0.3246655578979133,0.0,0.3246655578979133,0.3246655578979133,0.3246655578979133,0.4891541938779705,0.0,0.4891541938779705,0.4891541938779705,0.4891541938779705,77.65375,0.0,77.65375,77.65375,77.65375,,,,,,0.2821112499562635,0.12199902400269577,0.42298287495214026,0.21206378121860325,0.2112870936980471
victim,cicids2017_distrinet,cnn,cw_untargeted,C&W,untargeted,native,ALL,3200,56,0.9553125000000001,1.3597399555105182e-16,0.9553125,0.9553125,0.9553125,0.0,0.0,0.0,0.0,0.0,95.53125,0.0,95.53125,95.53125,95.53125,0.0,0.0,0.0,0.0,0.0,0.6415625,0.0,0.6415625,0.6415625,0.6415625,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,120.0,1.4068174940243463,0.0,1.4068174940243463,1.4068174940243463,1.4068174940243463,0.37869858936357753,0.0,0.37869858936357753,0.37869858936357753,0.37869858936357753,0.36030562826540175,0.0,0.36030562826540175,0.36030562826540175,0.36030562826540175,77.658125,0.0,77.658125,77.658125,77.658125,,,,,,4.841307083382465,0.11482632682006627,4.868379281251691,4.940178312535863,4.715363656359841
victim,cicids2017_distrinet,ft_transformer,cw_untargeted,C&W,untargeted,native,ALL,3200,56,0.7715625,0.0,0.7715625,0.7715625,0.7715625,0.0,0.0,0.0,0.0,0.0,77.15625,0.0,77.15625,77.15625,77.15625,0.0,0.0,0.0,0.0,0.0,0.51875,0.0,0.51875,0.51875,0.51875,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,120.0,0.8451463526765979,0.0,0.8451463526765979,0.8451463526765979,0.8451463526765979,0.36857997784840796,0.0,0.36857997784840796,0.36857997784840796,0.36857997784840796,0.17732425882789463,0.0,0.17732425882789463,0.17732425882789463,0.17732425882789463,77.6528125,0.0,77.6528125,77.6528125,77.6528125,,,,,,7.5570485416634865,0.14131094167887445,7.393895531276939,7.640770656216773,7.636479437496746
victim,cicids2018_distrinet,mlp-s42,cw_untargeted,C&W,untargeted,native,ALL,3200,56,0.8762500000000001,1.3597399555105182e-16,0.87625,0.87625,0.87625,0.0,0.0,0.0,0.0,0.0,87.625,0.0,87.625,87.625,87.625,0.0,0.0,0.0,0.0,0.0,0.6746875,0.0,0.6746875,0.6746875,0.6746875,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,120.0,1.56497160045469,0.0,1.56497160045469,1.56497160045469,1.56497160045469,0.383128537729795,0.0,0.383128537729795,0.383128537729795,0.383128537729795,0.34757609132711154,0.0,0.34757609132711154,0.34757609132711154,0.34757609132711154,78.4990625,0.0,78.4990625,78.4990625,78.4990625,,,,,,0.27757345827315777,0.11909138494560667,0.41505321860313416,0.2061419999517966,0.2115251562645426
victim,cicids2018_distrinet,cnn-s42,cw_untargeted,C&W,untargeted,native,ALL,3200,56,0.9915625,0.0,0.9915625,0.9915625,0.9915625,0.0,0.0,0.0,0.0,0.0,99.15625,0.0,99.15625,99.15625,99.15625,0.0,0.0,0.0,0.0,0.0,0.850625,0.0,0.850625,0.850625,0.850625,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,120.0,1.1360672864750017,0.0,1.1360672864750017,1.1360672864750017,1.1360672864750017,0.327535625844226,0.0,0.327535625844226,0.327535625844226,0.327535625844226,0.28293444240071175,0.0,0.28293444240071175,0.28293444240071175,0.28293444240071175,78.466875,0.0,78.466875,78.466875,78.466875,,,,,,5.066517864688649,0.05462945958655643,5.059194062632741,5.0159197500761366,5.124439781357069
victim,cicids2018_distrinet,ft_transformer-s42,cw_untargeted,C&W,untargeted,native,ALL,3200,56,0.5359375,0.0,0.5359375,0.5359375,0.5359375,0.0,0.0,0.0,0.0,0.0,53.59374999999999,0.0,53.59374999999999,53.59374999999999,53.59374999999999,0.0,0.0,0.0,0.0,0.0,0.4040625,0.0,0.4040625,0.4040625,0.4040625,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,120.0,0.5646281501785794,0.0,0.5646281501785794,0.5646281501785794,0.5646281501785794,0.2523557222686761,0.0,0.2523557222686761,0.2523557222686761,0.2523557222686761,0.08834109089350951,0.0,0.08834109089350951,0.08834109089350951,0.08834109089350951,78.4425,0.0,78.4425,78.4425,78.4425,,,,,,57.91771835421969,0.15651161523077028,57.805091843838454,58.0964339687489,57.85162925007171
victim,cicids2017_distrinet,mlp,capgd_prim_support,CAPGD-PrimSupport,untargeted,native,ALL,3200,0,0.9440624999999999,0.007064159097160787,0.9459375,0.95,0.93625,0.02010416666666667,0.0009547032697824675,0.0203125,0.0190625,0.0209375,92.39583333333333,0.7944714569028476,92.5625,93.09375,91.53125,0.020625,0.0014320549046736998,0.021875,0.0190625,0.0209375,0.7201041666666668,0.012563640080937273,0.731875,0.7215625,0.706875,0.004166666666666667,0.0007864410870073698,0.0034375,0.0040625,0.005,24.7675,0.0,24.7675,24.7675,24.7675,89601.04706360254,7727.088404339124,97811.35322510535,88520.96419017923,82470.82377552307,89502.30563563656,7715.25868672376,97682.52591812573,88468.04459088398,82356.34639789996,2.7620859758517455,2.1311273793385235,5.199760854052346,1.834812934627026,1.251684138875865,18.960729166666667,0.053780272482885076,18.9284375,19.0228125,18.9309375,,,,,,13.50549442708143,0.14034623309716274,13.527802750104456,13.633350406162208,13.355330124977627
victim,cicids2017_distrinet,cnn,capgd_prim_support,CAPGD-PrimSupport,untargeted,native,ALL,3200,0,0.9653125,0.010680004681646907,0.9753125,0.9665625,0.9540625,0.05145833333333333,0.0007216878364870289,0.051875,0.051875,0.050625,91.38541666666667,1.0026007846263305,92.34375,91.46875,90.34375,0.05145833333333333,0.0007216878364870289,0.051875,0.051875,0.050625,0.8286458333333333,0.014738387024479091,0.840625,0.833125,0.8121875,0.024479166666666666,0.0003608439182435164,0.0246875,0.0246875,0.0240625,23.51125,0.0,23.51125,23.51125,23.51125,69912.91305517533,4668.546517438595,75272.31443373038,67736.14301036549,66730.28172143012,69844.87350468845,4696.5533168646925,75230.85367264086,67700.5420404115,66603.22480101301,4.460416984720919,1.1092268231904523,5.739357629042684,3.8810903780385098,3.7608029470815647,19.59447916666667,0.07398950340813998,19.52625,19.673125,19.5840625,,,,,,13.646577927041411,0.060036102932063545,13.583917593641672,13.7035906874371,13.65222550004546
