scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,raw_targeted_benign_successes,valid_targeted_benign_successes,raw_targeted_benign_asr,valid_targeted_benign_asr,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,42,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,246.78503458059305,246.36498014286187,0.005338883689032396,7.8,0,,,,41.89595770020969,13.092486781315529
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2024,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,248.34900975882505,247.930541088895,0.0053489299374379125,7.79625,0,,,,41.789605899946764,13.059251843733364
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2026,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,247.0239404919837,246.50016323576816,0.005643583205477464,7.796875,0,,,,41.49910739995539,12.96847106248606
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3200,0,0,1.0,0.0,100.0,0.0,2980,0,0.93125,0.0,40.0,4.3789960719030825,0.5000171493541283,1.2131604728408796,78.4196875,56,,,,0.16173070017248392,0.050540843803901225
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3200,0,0,1.0,0.0,100.0,0.0,2984,0,0.9325,0.0,40.0,4.380277110871669,0.5000204699860539,1.2139755006991761,78.4375,56,,,,0.12088229996152222,0.037775718737975694
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3200,0,0,1.0,0.0,100.0,0.0,2960,0,0.925,0.0,40.0,4.378529716078305,0.5000171510625263,1.2128801219648677,78.4221875,56,,,,0.12336190021596849,0.03855059381749015
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3079,0,0,0.9621875,0.0,96.21875,0.0,2617,0,0.8178125,0.0,40.0,4.009496241111652,0.5000171016811531,1.1192662731100638,78.4090625,56,,,,4.99417440011166,1.5606795000348939
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3076,0,0,0.96125,0.0,96.125,0.0,2614,0,0.816875,0.0,40.0,4.00858692049666,0.5000204171229374,1.1198957032902654,78.4271875,56,,,,4.908621999900788,1.5339443749689963
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3073,0,0,0.9603125,0.0,96.03125,0.0,2627,0,0.8209375,0.0,40.0,4.011412803397517,0.5000171020246462,1.121228016822642,78.4165625,56,,,,4.9193951999768615,1.5373109999927692
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3115,0,0,0.9734375,0.0,97.34375,0.0,2788,0,0.87125,0.0,40.0,4.141026071437472,0.5000171294405481,1.14432699489706,78.41375,56,,,,12.53788910037838,3.9180903438682435
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3125,0,0,0.9765625,0.0,97.65625,0.0,2826,0,0.883125,0.0,40.0,4.1466543566225855,0.5000204469994268,1.1446317902375538,78.43,56,,,,12.34706489997916,3.8584577812434873
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3107,0,0,0.9709375,0.0,97.09375,0.0,2815,0,0.8796875,0.0,40.0,4.144240541945883,0.5000171242881829,1.1435328922081707,78.4125,56,,,,12.381042199674994,3.8690756873984355
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3019,0,0,0.9434375,0.0,94.34375,0.0,2208,0,0.69,0.0,40.0,4.3400360841302525,0.5000028455142196,0.879915355514446,78.7459375,56,,,,0.17172119999304414,0.05366287499782629
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3011,0,0,0.9409375,0.0,94.09375,0.0,2239,0,0.6996875,0.0,40.0,4.3407266990485684,0.500002863089988,0.881853542313141,78.7503125,56,,,,0.11890659993514419,0.03715831247973256
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3027,0,0,0.9459375,0.0,94.59375,0.0,2231,0,0.6971875,0.0,40.0,4.341419540972819,0.5000028617663813,0.8809866764870642,78.764375,56,,,,0.1188376999925822,0.03713678124768194
victim,cicids2018_distrinet,cnn-s42,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3191,0,0,0.9971875,0.0,99.71875,0.0,3153,0,0.9853125,0.0,40.0,3.9421552696557614,0.5000017815700026,0.8573058836154039,78.7453125,56,,,,5.132697900291532,1.6039680938411038
victim,cicids2018_distrinet,cnn-s42,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3190,0,0,0.996875,0.0,99.6875,0.0,3150,0,0.984375,0.0,40.0,3.9445970560225083,0.5000017869027892,0.8571047747322379,78.753125,56,,,,5.359440000262111,1.6748250000819098
victim,cicids2018_distrinet,cnn-s42,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3190,0,0,0.996875,0.0,99.6875,0.0,3148,0,0.98375,0.0,40.0,3.9428536763198547,0.5000018796529953,0.8561048237057388,78.7603125,56,,,,5.373255599522963,1.679142374850926
victim,cicids2018_distrinet,ft_transformer-s42,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,2941,0,0,0.9190625,0.0,91.90625,0.0,1626,0,0.508125,0.0,40.0,4.002338429621016,0.5000029037159341,0.7837241466953757,78.750625,56,,,,67.06335669988766,20.957298968714895
victim,cicids2018_distrinet,ft_transformer-s42,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,2931,0,0,0.9159375,0.0,91.59375,0.0,1677,0,0.5240625,0.0,40.0,4.001660794489149,0.5000028958980404,0.7847284621807101,78.75375,56,,,,67.28792599984445,21.02747687495139
victim,cicids2018_distrinet,ft_transformer-s42,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,2931,0,0,0.9159375,0.0,91.59375,0.0,1651,0,0.5159375,0.0,40.0,4.004655878790211,0.5000029106630327,0.7857314802981762,78.7596875,56,,,,66.92097870004363,20.912805843763635
victim,cicids2017_distrinet,mlp,cw_untargeted,C&W,untargeted,native,ALL,42,3200,3198,0,0,0.999375,0.0,99.9375,0.0,3103,0,0.9696875,0.0,120.0,1.3227477449985898,0.3246655578979133,0.4891541938779705,77.65375,56,,,,1.3535451998468488,0.42298287495214026
victim,cicids2017_distrinet,mlp,cw_untargeted,C&W,untargeted,native,ALL,2024,3200,3198,0,0,0.999375,0.0,99.9375,0.0,3103,0,0.9696875,0.0,120.0,1.3227477449985898,0.3246655578979133,0.4891541938779705,77.65375,56,,,,0.6786040998995304,0.21206378121860325
victim,cicids2017_distrinet,mlp,cw_untargeted,C&W,untargeted,native,ALL,2026,3200,3198,0,0,0.999375,0.0,99.9375,0.0,3103,0,0.9696875,0.0,120.0,1.3227477449985898,0.3246655578979133,0.4891541938779705,77.65375,56,,,,0.6761186998337507,0.2112870936980471
victim,cicids2017_distrinet,cnn,cw_untargeted,C&W,untargeted,native,ALL,42,3200,3057,0,0,0.9553125,0.0,95.53125,0.0,2053,0,0.6415625,0.0,120.0,1.4068174940243463,0.37869858936357753,0.36030562826540175,77.658125,56,,,,15.578813700005412,4.868379281251691
victim,cicids2017_distrinet,cnn,cw_untargeted,C&W,untargeted,native,ALL,2024,3200,3057,0,0,0.9553125,0.0,95.53125,0.0,2053,0,0.6415625,0.0,120.0,1.4068174940243463,0.37869858936357753,0.36030562826540175,77.658125,56,,,,15.808570600114763,4.940178312535863
victim,cicids2017_distrinet,cnn,cw_untargeted,C&W,untargeted,native,ALL,2026,3200,3057,0,0,0.9553125,0.0,95.53125,0.0,2053,0,0.6415625,0.0,120.0,1.4068174940243463,0.37869858936357753,0.36030562826540175,77.658125,56,,,,15.089163700351492,4.715363656359841
victim,cicids2017_distrinet,ft_transformer,cw_untargeted,C&W,untargeted,native,ALL,42,3200,2469,0,0,0.7715625,0.0,77.15625,0.0,1660,0,0.51875,0.0,120.0,0.8451463526765979,0.36857997784840796,0.17732425882789463,77.6528125,56,,,,23.660465700086206,7.393895531276939
victim,cicids2017_distrinet,ft_transformer,cw_untargeted,C&W,untargeted,native,ALL,2024,3200,2469,0,0,0.7715625,0.0,77.15625,0.0,1660,0,0.51875,0.0,120.0,0.8451463526765979,0.36857997784840796,0.17732425882789463,77.6528125,56,,,,24.450466099893674,7.640770656216773
