dataset,victim,source_class,mode,method,n_attempted,raw_asr_mean,raw_asr_sd,valid_asr_mean,valid_asr_sd,valid_asr_seed42,valid_asr_seed2024,valid_asr_seed2026,n_padding_eligible,valid_asr_on_padding_eligible_mean,valid_asr_on_padding_eligible_sd,valid_asr_on_padding_eligible_seed42,valid_asr_on_padding_eligible_seed2024,valid_asr_on_padding_eligible_seed2026,valid_successes_mean
cicids2017_distrinet,mlp,ALL,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017_distrinet,cnn,DoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017_distrinet,cnn,DDoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,cnn,Recon,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,cnn,BruteForce,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,cnn,ALL,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,DoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,DDoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,ft_transformer,Recon,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,ft_transformer,BruteForce,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,ft_transformer,ALL,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,DoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,mlp-s42,DDoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,Recon,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,BruteForce,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,mlp-s42,ALL,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,DoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,cnn-s42,DDoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,Recon,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,BruteForce,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,cnn-s42,ALL,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,DoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,ft_transformer-s42,DDoS,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,Recon,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,BruteForce,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,ft_transformer-s42,ALL,padding-only,"PrimAttack padding-only (Prim-PGD, p75)",3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
