dataset,victim,method,allowed_downstream_features,mean_features_modified,max_modified_outside_mask,raw_asr_mean,raw_asr_sd,valid_asr_mean,valid_asr_sd,validity_gap_pp_mean,validity_gap_pp_sd,validator_pass_rate_mean,validator_pass_rate_sd,mean_model_evaluations
cicids2017_distrinet,mlp,CAPGD-PrimSupport,23,18.960729166666667,0.0,0.9440624999999999,0.007064159097160787,0.02010416666666667,0.0009547032697824675,92.39583333333333,0.7944714569028476,0.020625,0.0014320549046736998,24.7675
cicids2017_distrinet,cnn,CAPGD-PrimSupport,23,19.59447916666667,0.0,0.9653125,0.010680004681646907,0.05145833333333333,0.0007216878364870289,91.38541666666667,1.0026007846263305,0.05145833333333333,0.0007216878364870289,23.51125
cicids2017_distrinet,ft_transformer,CAPGD-PrimSupport,23,20.499166666666667,0.0,0.5220833333333333,0.043261032432008954,0.0017708333333333332,0.00018042195912175795,52.03125,4.324710973001549,0.0025,0.0010825317547305483,24.89125
cicids2018_distrinet,mlp-s42,CAPGD-PrimSupport,23,18.696354166666666,0.0,0.9157291666666666,0.00839301544936819,0.0013541666666666667,0.0001804219591217581,91.4375,0.8460616481675552,0.0013541666666666667,0.0001804219591217581,22.663750000000004
cicids2018_distrinet,cnn-s42,CAPGD-PrimSupport,23,19.749270833333334,0.0,0.7601041666666667,0.016786030898736405,0.002916666666666667,0.0006505206248331664,75.71875,1.6883678324050124,0.0031249999999999997,0.0006249999999999999,24.02125
cicids2018_distrinet,ft_transformer-s42,CAPGD-PrimSupport,23,20.190729166666667,0.0,0.09739583333333333,0.007045702738785775,0.0,0.0,9.739583333333334,0.7045702738785772,0.00020833333333333335,0.00018042195912175806,24.93625
cicids2017_distrinet,mlp,C-PGD-PrimSupport,23,20.653645833333332,0.0,0.5080208333333333,0.020370909609866057,0.0,0.0,50.802083333333336,2.037090960986606,0.0,0.0,40.0
cicids2017_distrinet,cnn,C-PGD-PrimSupport,23,20.989166666666666,0.0,0.6041666666666666,0.029753763767519092,0.0,0.0,60.416666666666664,2.9753763767519077,0.0,0.0,40.0
cicids2017_distrinet,ft_transformer,C-PGD-PrimSupport,23,21.235208333333336,0.0,0.21614583333333334,0.0030671733050698854,0.0,0.0,21.614583333333332,0.3067173305069887,0.0,0.0,40.0
cicids2018_distrinet,mlp-s42,C-PGD-PrimSupport,23,20.785833333333333,0.0,0.28250000000000003,0.005144399260360746,0.0,0.0,28.25,0.5144399260360737,0.0,0.0,40.0
cicids2018_distrinet,cnn-s42,C-PGD-PrimSupport,23,20.871145833333333,0.0,0.5054166666666667,0.032983680466002196,0.0,0.0,50.541666666666664,3.2983680466002214,0.0,0.0,40.0
cicids2018_distrinet,ft_transformer-s42,C-PGD-PrimSupport,23,21.08791666666667,0.0,0.016458333333333335,0.004219714395943562,0.0,0.0,1.6458333333333333,0.42197143959435607,0.0,0.0,40.0
cicids2017_distrinet,mlp,CAPGD (native),16,14.099583333333333,,0.9464583333333333,0.008757437315409856,0.09531249999999998,0.008506660993010125,85.11458333333333,0.07864410870073697,0.098125,0.0058379817788341845,24.76
cicids2017_distrinet,cnn,CAPGD (native),16,14.330416666666666,,0.9625,0.011870887445764113,0.19239583333333332,0.001262953713852307,77.01041666666667,1.3081525220070225,0.19479166666666667,0.0025065019615658148,23.51875
cicids2017_distrinet,ft_transformer,CAPGD (native),16,14.698749999999999,,0.5061458333333334,0.033912129866514366,0.05708333333333334,0.010722591027048143,44.90625,3.640725588739149,0.08072916666666667,0.026127566660202658,24.91
cicids2018_distrinet,mlp-s42,CAPGD (native),16,13.5540625,,0.8041666666666666,0.006891552044593001,0.2841666666666667,0.011320669241848453,52.0,0.9717694878416484,0.2960416666666667,0.01831349542231993,23.320000000000004
cicids2018_distrinet,cnn-s42,CAPGD (native),16,14.194270833333334,,0.664375,0.01279724701840202,0.1630208333333333,0.0321925562371697,50.135416666666664,2.150656997485493,0.180625,0.04145663208402244,24.49
cicids2018_distrinet,ft_transformer-s42,CAPGD (native),16,14.300520833333332,,0.05958333333333334,0.005315562842572115,0.004479166666666667,0.004521361336293897,5.510416666666667,0.8779711460710621,0.050729166666666665,0.039536293321242616,24.985
cicids2017_distrinet,mlp,"PrimAttack (Prim-PGD, p75)",23,8.128541666666665,0.0,0.0409375,0.0,0.0409375,0.0,0.0,0.0,1.0,0.0,187.08624999999998
cicids2017_distrinet,cnn,"PrimAttack (Prim-PGD, p75)",23,8.198854166666665,0.0,0.1346875,0.0,0.1346875,0.0,0.0,0.0,1.0,0.0,187.08624999999998
cicids2017_distrinet,ft_transformer,"PrimAttack (Prim-PGD, p75)",23,7.166041666666666,0.0,0.00125,0.0,0.00125,0.0,0.0,0.0,1.0,0.0,187.165
cicids2018_distrinet,mlp-s42,"PrimAttack (Prim-PGD, p75)",23,6.601145833333334,0.0,0.0253125,0.0,0.0253125,0.0,0.0,0.0,1.0,0.0,189.92125
cicids2018_distrinet,cnn-s42,"PrimAttack (Prim-PGD, p75)",23,6.575729166666666,0.0,0.011562499999999998,2.1245936804851847e-18,0.011562499999999998,2.1245936804851847e-18,0.0,0.0,0.9989583333333334,0.00018042195912172215,189.8425
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Prim-PGD, p75)",23,7.797708333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999375,0.0,189.92125
