scope,dataset,victim,condition,method,objective,budget,source_class,n_per_seed,max_modified_outside_mask,raw_asr_mean,raw_asr_sd,raw_asr_seed42,raw_asr_seed2024,raw_asr_seed2026,valid_asr_mean,valid_asr_sd,valid_asr_seed42,valid_asr_seed2024,valid_asr_seed2026,validity_gap_pp_mean,validity_gap_pp_sd,validity_gap_pp_seed42,validity_gap_pp_seed2024,validity_gap_pp_seed2026,validator_pass_rate_mean,validator_pass_rate_sd,validator_pass_rate_seed42,validator_pass_rate_seed2024,validator_pass_rate_seed2026,mean_model_evaluations_mean,mean_model_evaluations_sd,mean_model_evaluations_seed42,mean_model_evaluations_seed2024,mean_model_evaluations_seed2026,mean_l2_robust_scaled_mean,mean_l2_robust_scaled_sd,mean_l2_robust_scaled_seed42,mean_l2_robust_scaled_seed2024,mean_l2_robust_scaled_seed2026,mean_linf_robust_scaled_mean,mean_linf_robust_scaled_sd,mean_linf_robust_scaled_seed42,mean_linf_robust_scaled_seed2024,mean_linf_robust_scaled_seed2026,mean_l2_train_minmax_mean,mean_l2_train_minmax_sd,mean_l2_train_minmax_seed42,mean_l2_train_minmax_seed2024,mean_l2_train_minmax_seed2026,mean_features_modified_mean,mean_features_modified_sd,mean_features_modified_seed42,mean_features_modified_seed2024,mean_features_modified_seed2026,median_primitive_cost_valid_mean,median_primitive_cost_valid_sd,median_primitive_cost_valid_seed42,median_primitive_cost_valid_seed2024,median_primitive_cost_valid_seed2026,ms_per_flow_mean,ms_per_flow_sd,ms_per_flow_seed42,ms_per_flow_seed2024,ms_per_flow_seed2026
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,3200,0,0.11062500000000001,1.6996749443881478e-17,0.110625,0.110625,0.110625,0.11062500000000001,1.6996749443881478e-17,0.110625,0.110625,0.110625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,188.31499999999997,3.4809342861069267e-14,188.315,188.315,188.315,3445.445479455164,4.221546075719751,3450.259279810455,3442.3737891798373,3443.7033693752,3445.3595199295355,4.2215723446353115,3450.17333550408,3442.287737889721,3443.6174863948054,0.03853375191067578,3.762788477609488e-05,0.038576702788026794,0.038517957520654046,0.038506595423346494,15.019062499999999,0.00440835499364605,15.014375,15.023125,15.0196875,1.4000004728635151,1.3880760252244128e-06,1.3999998569488525,1.4000020623207092,1.3999994993209839,2.8365944686811417,0.029083682521270898,2.868185687402729,2.830665812434745,2.8109319062059512
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,3200,0,0.3614583333333334,0.0001804219591217542,0.3615625,0.36125,0.3615625,0.3614583333333334,0.0001804219591217542,0.3615625,0.36125,0.3615625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,188.36625,0.0,188.36625,188.36625,188.36625,2924.3701228229183,2.637824802995473,2922.5345266898485,2923.182912619044,2927.392929159863,2924.2860123395562,2.637700350693538,2922.4510029907974,2923.098281004001,2927.30875302387,0.03538080790484461,5.289357261510665e-05,0.03535656905711391,0.03544147718678911,0.035344377470630815,14.958333333333334,0.019538956812822368,14.96125,14.97625,14.9375,1.6079580783843994,0.0037741654520160733,1.6087117195129395,1.6038639545440674,1.6112985610961914,2.9554024062720905,0.10907497543224139,3.0392418125848053,2.8320851249736734,2.9948802812577924
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,3200,0,0.004375,0.0,0.004375,0.004375,0.004375,0.004375,0.0,0.004375,0.004375,0.004375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,188.213125,0.0,188.213125,188.213125,188.213125,3308.831137822112,1.2999220775887828,3310.2877437012457,3307.7889529103686,3308.4167168547215,3308.7500284096955,1.2997530575934706,3310.206280579618,3307.7074898187484,3308.33631483072,0.034236004708686735,5.945516479560535e-06,0.034242781718439676,0.03423356660915279,0.03423166579846773,14.971145833333333,0.0045536443738324935,14.970625,14.9759375,14.966875,0.19615384936332703,0.0,0.19615384936332703,0.19615384936332703,0.19615384936332703,12.222383979193788,0.11754802224825545,12.14509296878532,12.357658218825236,12.16440074997081
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,3200,0,0.0128125,0.0003124999999999994,0.013125,0.0128125,0.0125,0.002916666666666667,0.0003608439182435162,0.003125,0.003125,0.0025,0.9895833333333331,0.0180421959121759,0.9999999999999999,0.9687499999999998,1.0,0.7491666666666666,0.0003608439182435084,0.74875,0.749375,0.749375,192.855,0.0,192.855,192.855,192.855,377.51804283023847,0.588430338706269,377.1150246629861,377.2458088071512,378.1932950205779,377.0849636723078,0.5872719617204251,376.6815366631989,376.81463550151557,377.75871885220886,0.023706737928606374,1.1606024014748e-05,0.023702269512293643,0.023719914016636555,0.023698030256888925,8.737916666666665,0.007858199671892871,8.7440625,8.740625,8.7290625,0.9999999304612478,1.7206378853011898e-08,0.9999999403953552,0.9999999105930328,0.9999999403953552,3.0662180416159877,0.022215123586129502,3.0842460624262458,3.073007656275877,3.04140040614584
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,3200,0,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,0.2371875,0.00031249999999999334,0.2371875,0.2375,0.236875,192.79156249999997,3.4809342861069267e-14,192.7915625,192.7915625,192.7915625,373.9811561801912,3.6902729585576077,378.1607796675231,371.172891141753,372.60979773129753,371.6915520170821,3.6828962450223934,375.8635575574631,368.8917551029868,370.3193433907964,0.04328279410781522,7.567019733943089e-05,0.043369111903390926,0.04322789181228217,0.04325137860777258,13.643749999999999,0.004430452149611487,13.6403125,13.64875,13.6421875,,,,,,2.9958458749752026,0.09066910672169487,3.0964389061409747,2.920416343768011,2.9706823750166222
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,3200,0,0.0033333333333333335,0.00018042195912175795,0.0034375,0.0034375,0.003125,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.018042195912175804,0.34375,0.34375,0.3125,0.238125,0.0,0.238125,0.238125,0.238125,192.855,0.0,192.855,192.855,192.855,258.90247484874413,0.9509909227051881,259.92745800657826,258.73121761699196,258.0487489226623,256.94583782990435,0.9488965359289787,257.96967416666666,256.7718900781898,256.0959492448565,0.04231450591855829,2.1658622542574232e-05,0.04231721202501465,0.04233468432304497,0.04229162140761525,14.213020833333331,0.02705667758767444,14.2340625,14.1825,14.2225,,,,,,12.745303968670973,0.08926288664112034,12.692403374967398,12.695144812314538,12.84836371873098
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD,targeted,p75,ALL,3200,0,0.11062500000000001,1.6996749443881478e-17,0.110625,0.110625,0.110625,0.11062500000000001,1.6996749443881478e-17,0.110625,0.110625,0.110625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,190.63,0.0,190.63,190.63,190.63,3425.687259911856,5.326652517651634,3422.3088025152074,3422.9253374941122,3431.827639726249,3425.602946856579,5.326509488146588,3422.224855048107,3422.840804702839,3431.7431808187907,0.03830075055005525,3.594590021842847e-05,0.03827470284652779,0.03834176092711639,0.038285787876521586,15.034791666666665,0.0045536443738324935,15.0390625,15.0353125,15.03,1.3296465078989665,0.011961403364579133,1.316666841506958,1.332047164440155,1.3402255177497864,3.021019541605104,0.030348083993123273,2.9880724999384256,3.0478311249316903,3.0271549999451963
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD,targeted,p75,ALL,3200,0,0.36104166666666665,0.0012629537138523115,0.3603125,0.3625,0.3603125,0.36104166666666665,0.0012629537138523115,0.3603125,0.3625,0.3603125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,190.55125,0.0,190.55125,190.55125,190.55125,2867.9665150188266,12.677147525430668,2858.3498666247174,2882.332565128963,2863.2171133028,2867.883551386542,12.677042075096447,2858.266575500515,2882.249378231125,2863.134700427987,0.0347928197995101,2.244527278644691e-05,0.034805741478300824,0.0348058156539084,0.034766902266321086,14.871666666666664,0.02295616860635327,14.8921875,14.8759375,14.846875,1.5763062238693237,0.004578134652774926,1.5747675895690918,1.5726956129074097,1.5814554691314697,3.1356149270868627,0.10758489489388347,3.0117464062641375,3.2057315936981468,3.189366781298304
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD,targeted,p75,ALL,3200,0,0.004375,0.0,0.004375,0.004375,0.004375,0.004375,0.0,0.004375,0.004375,0.004375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,190.63,0.0,190.63,190.63,190.63,3307.3630734701014,1.9006159917355037,3309.054817245945,3307.7279217792984,3305.3064813850606,3307.2819149240336,1.9006111787656916,3308.9734273187555,3307.6471138111933,3305.2252036421523,0.03420620727543406,1.489192523480768e-05,0.03421044518597042,0.03418965573471096,0.03421852090562079,14.984895833333333,0.0032824898451223163,14.988125,14.9815625,14.985,0.20512820780277252,0.0,0.20512820780277252,0.20512820780277252,0.20512820780277252,13.706899489552598,0.05532979440413579,13.694700687483419,13.76731074997224,13.658687031202135
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_targeted,Prim-PGD,targeted,p75,ALL,3200,0,0.013125,0.0,0.013125,0.013125,0.013125,0.0026041666666666665,0.00018042195912175795,0.0028125,0.0025,0.0025,1.0520833333333333,0.018042195912175932,1.0312499999999998,1.0625,1.0625,0.7522916666666667,0.0010974639325888299,0.75125,0.7521875,0.7534375,197.4025,0.0,197.4025,197.4025,197.4025,372.8710943288257,4.755203932081875,374.9714216422275,367.4273634064373,376.21449793781227,372.4005336794271,4.760835220780152,374.5067903145093,366.94987034328756,375.74494038048454,0.02317141573116412,4.8004071454530054e-05,0.023204576613623015,0.023193301610035806,0.023116368969833552,8.804270833333332,0.03137682597608233,8.8321875,8.8103125,8.7703125,0.926800012588501,0.020175690183134753,0.9500000476837158,0.9170377254486084,0.9133622646331787,3.011936812545173,0.03129502251383205,2.9865012188383844,3.0468841249967227,3.0024250938004116
