scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search p75,targeted,p75,ALL,2026,3200,40,8,2398,0.0125,0.0025,1.0,0.749375,192.855,378.1932950205779,377.75871885220886,0.023698030256888925,8.7290625,0,0.9999999403953552,0.0,5954747.0,9.732481299666688,3.04140040614584
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_targeted,Hybrid Search p75,targeted,p75,ALL,42,3200,480,0,759,0.15,0.0,15.0,0.2371875,192.7915625,378.1607796675231,375.8635575574631,0.043369111903390926,13.6403125,0,,,,9.90860449965112,3.0964389061409747
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_targeted,Hybrid Search p75,targeted,p75,ALL,2024,3200,480,0,760,0.15,0.0,15.0,0.2375,192.7915625,371.172891141753,368.8917551029868,0.04322789181228217,13.64875,0,,,,9.345332300057635,2.920416343768011
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_p75_targeted,Hybrid Search p75,targeted,p75,ALL,2026,3200,480,0,758,0.15,0.0,15.0,0.236875,192.7915625,372.60979773129753,370.3193433907964,0.04325137860777258,13.6421875,0,,,,9.506183600053191,2.9706823750166222
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_targeted,Hybrid Search p75,targeted,p75,ALL,42,3200,11,0,762,0.0034375,0.0,0.34375,0.238125,192.855,259.92745800657826,257.96967416666666,0.04231721202501465,14.2340625,0,,,,40.615690799895674,12.692403374967398
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_targeted,Hybrid Search p75,targeted,p75,ALL,2024,3200,11,0,762,0.0034375,0.0,0.34375,0.238125,192.855,258.73121761699196,256.7718900781898,0.04233468432304497,14.1825,0,,,,40.62446339940652,12.695144812314538
victim,cicids2018_distrinet,ft_transformer-s42,prim_hybrid_p75_targeted,Hybrid Search p75,targeted,p75,ALL,2026,3200,10,0,762,0.003125,0.0,0.3125,0.238125,192.855,258.0487489226623,256.0959492448565,0.04229162140761525,14.2225,0,,,,41.114763899939135,12.84836371873098
victim,cicids2017_distrinet,mlp,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,42,3200,1344,1344,3200,0.42,0.42,0.0,1.0,188.51625,13967.883693833088,13967.84005763439,0.11451361788310335,15.2615625,0,0.7948718070983887,31.0,4478976.0,9.503517199773341,2.969849124929169
victim,cicids2017_distrinet,mlp,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2024,3200,1337,1337,3200,0.4178125,0.4178125,0.0,1.0,188.51625,13752.977062701306,13752.93333888439,0.11284663905905734,15.2828125,0,0.7885231971740723,31.0,4475185.0,9.879020700231194,3.0871939688222483
victim,cicids2017_distrinet,mlp,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2026,3200,1341,1341,3200,0.4190625,0.4190625,0.0,1.0,188.51625,13732.254602637593,13732.210981547434,0.11235308685622186,15.264375,0,0.7835453748703003,31.0,4469568.0,9.519831700017676,2.9749474062555237
victim,cicids2017_distrinet,cnn,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,42,3200,2256,2256,3200,0.705,0.705,0.0,1.0,185.4696875,17496.8928527962,17496.83316597042,0.231275574639978,15.0615625,0,0.9890984296798706,35.0,8326579.5,8.484329900005832,2.6513530937518226
victim,cicids2017_distrinet,cnn,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2024,3200,2254,2254,3200,0.704375,0.704375,0.0,1.0,185.4696875,18245.975616128137,18245.918777383467,0.23025216184740377,15.0584375,0,0.9684193432331085,36.0,8274844.5,8.24468980007805,2.5764655625243904
victim,cicids2017_distrinet,cnn,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2026,3200,2256,2256,3200,0.705,0.705,0.0,1.0,185.4696875,17706.342837045337,17706.286304557376,0.23097973558376642,15.105,0,0.9820455014705658,36.0,8068384.5,8.195111699867994,2.560972406208748
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,42,3200,28,28,3200,0.00875,0.00875,0.0,1.0,188.8015625,40737.24143708415,40737.20974851387,0.4594233036057676,15.3721875,0,0.2153846174478531,15.0,321447.0,36.04889219999313,11.265278812497854
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2024,3200,28,28,3200,0.00875,0.00875,0.0,1.0,188.8015625,40714.99745401209,40714.965719981265,0.4592232518212436,15.375,0,0.2153846174478531,16.5,375651.5,35.964128700317815,11.238790218849317
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2026,3200,28,28,3200,0.00875,0.00875,0.0,1.0,188.8015625,40698.026231258365,40697.994476774744,0.4589336119980429,15.375625,0,0.2153846174478531,15.0,546132.0,35.88879619981162,11.215248812441132
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,42,3200,789,772,3014,0.2465625,0.24125,0.5312499999999998,0.941875,192.8690625,1273.5361971976272,1227.1314279067724,0.36403460124188924,8.2253125,0,0.6000000536441803,0.0,70094872.0,11.48651480046101,3.5895358751440654
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2024,3200,787,770,3012,0.2459375,0.240625,0.5312499999999998,0.94125,192.8690625,1275.0162288109284,1228.8027889721823,0.3635259761343482,8.20875,0,0.6000000834465027,0.0,70094448.0,11.430885800393298,3.5721518126229057
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,2026,3200,786,767,3008,0.245625,0.2396875,0.5937500000000012,0.94,192.8690625,1279.003185877729,1233.016788417415,0.36351054373207065,8.2215625,0,0.6000000834465027,0.0,70097472.0,10.984857700066641,3.4327680312708253
victim,cicids2018_distrinet,cnn-s42,prim_hybrid_unbounded_targeted,Hybrid Search unbounded,targeted,unbounded,ALL,42,3200,1468,725,1470,0.45875,0.2265625,23.21875,0.459375,192.805625,2718.352341858703,2712.4066260948284,0.2610090410964258,12.3434375,0,0.3999999165534973,0.0,46721884.0,9.670959700131789,3.022174906291184
